round,n_pic,n_quote,n_ref,b_pic,b_quote,b_ref
0,,Je philosophe à coups de marteau,Le Crépuscule des Idoles<br>1888,,"Météore, j'fais des cratères",Les derniers seront les premiers<br>Lunatic<br>2010
1,,Tu dois devenir celui que tu es ,Le Gai Savoir<br>1882,,J'veux devenir c'que j'aurais du être ,La Lettre<br>Mauvais Oeil<br>2000
2,,"Je ne suis pas un homme, je suis de la dynamite",Ecce Homo<br>1888,,"Je suis flamme, déflagration, arme, un drame national",La Vie en Rouge<br>Autopsie Vol. 3<br>2009
3,,dire toujours Ou-I - l'âne seulement en fit l'apprentissage ,Ainsi Parlait Zarathoustra<br>De l'esprit de pesanteur<br>1885,,Je suis celui qui a dit non<br>Va niquer ta mère,Inédit<br>Temps Mort<br>2002
4,,Plus de péril ai trouvé chez les hommes que chez les bêtes ,Ainsi Parlait Zarathoustra<br>Le retour au foyer<br>1885,,"Plus j'connais les hommes, plus j'aime mon chien",Le silence n'est pas un oubli<br>Mauvais Oeil<br>2000
5,,Ce que nous faisons n'est jamais compris mais toujours simplement loué et blâmé,Le Gai Savoir<br>1882,,"Moi je rêve j'accomplis, même si je crève incompris",Couleur Ebène<br>Ouest Side<br>2006
6,,Que regarder ailleurs soit mon unique négation ,Le Gai Savoir<br>1882,,"Si tu kiffes pas, renoi, t'écoutes pas et puis c'est tout",Si tu kiffes pas<br>Mauvais Oeil<br>2000
7,,A la bonne heure sache mourir,"Ainsi Parlait Zarathoustra<br>
De la libre mort<br>1885",,Quand mon heure sonnera<br>Personne ne me sauvera,45 Scientific<br>Lunatic<br>2010
8,,"Insatiable telle la flamme,<br>Je brûle et me consume.",Le Gai Savoir<br>1882,,Parce que j'pense qu'a crâner<br>J'vais surement cramer,Paradis<br>Lunatic<br>2010
9,,"Aimez la paix comme moyen de guerres nouvelles, et la paix brève plus que la longue ",Ainsi parlait Zarathoustra<br>Dialogue avec les rois<br>1885,,Mon drapeau blanc est toujours au sale ,N.10<br>Pantheon<br>2004
