round,n_pic,n_quote,n_ref,b_pic,b_quote,b_ref
0,,Je philosophe à coups de marteau,Le Crépuscule des Idoles /1888,,"Météore, j'fais des cratères",Les derniers seront les premiers - Lunatic /2010
1,,Tu dois devenir celui que tu es ,Le Gai Savoir,,J'veux devenir c'que j'aurais du être ,La Lettre - Mauvais Oeil /2000
2,,"Je ne suis pas un homme, je suis de la dynamite",Ecce Homo,,"Je suis flamme, déflagration, arme, un drame national",La Vie en Rouge - Autopsie Vol. 3
3,,dire toujours Ou-I - l'âne seulement en fit l'apprentissage ,"Ainsi Parlait Zarathoustra
De l'esprit de pesanteur p257",,Je suis celui qui a dit non va niquer ta mère,"Inédit
Temps Mort"
4,,Plus de péril ai trouvé chez les hommes que chez les bêtes ,"Ainsi Parlait Zarathoustra
Le retour au foyer /p244",,"Plus j'connais les hommes, plus j'aime mon chien","Le silence n'est pas un oubli
Mauvais Oeil"
5,,Ce que nous faisons n'est jamais compris mais toujours simplement loué et blâmé,Le Gai Savoir p222,,"Moi je rêve j'accomplis, même si je crève incompris","Couleur Ebène
Ouest Side"
6,,Que regarder ailleurs soit mon unique négation ,Le Gai Savoir p226,,"Si tu kiffes pas, renoi, t'écoutes pas et puis c'est tout","Si tu kiffes pas
Mauvais Oeil"
7,,A la bonne heure sache mourir,"Ainsi Parlait Zarathoustra
De la libre mort P100",,"Quand mon heure sonnera, personne ne me sauvera","45 Scientific
Lunatic"
8,,"Insatiable telle la flamme, 
Je brûle et me consume.",Le Gai Savoir p53,,"Parce que j'pense qu'a crâner, j'vais surement cramer","Paradis
Lunatic"
9,,"Aimez la paix comme moyen de guerres nouvelles, et la paix brève plus que la longue ","Ainsi parlait Zarathoustra
Dialogue avec les rois p319",,Mon drapeau blanc est toujours au sale ,"N.10
Pantheon"
10,,Entre les criminels et les aliénés il n'y a pas de différence essentielle,Aurore p183 184,,J'ai pas besoin d'un psy mais d'un avocat,"Tallac
Panthéon"
11,,Encore une heure trop tôt ici je suis venu,"Ainsi Parlait Zarathoustra
De la rapetissante vertu p229",,J'suis trop en avance pour leur demander l'heure ,"Pitbull
Ouest Side"
12,,Et je regarde en bas car je me tiens sur les sommets ,"Ainsi Parlait Zarathoustra
Du lire et de l'écrire p58",,Je rappe depuis l'Everest,"45 Scientific
Lunatic"
13,,Etre indépendant est l'affaire d'un très petit nombre; c'est un privilège des forts ,"Par Delà Bien et Mal, P 49",,C'est bandant d'être indépendant,"Indépendants
Temps Mort"
14,,"Ainsi mourir est le meilleur ; mais ce qui vient en second, c'est mourir au combat ","Ainsi Parlait Zarathoustra
De la libre mort P100",,"Bras levé, tête haute
J'ai rêvé qu'j'mourrais au combat
J'veux pas mourir sur scène ","Pitbull
Ouest Side"
15,,Hélas accordez moi donc la folie,Aurore p47,,Qu'on m'épargne toute psychologie,"Nouvelle Ecole
Temps Mort "
16,,"Pour grandir, c'est à de durs rochers qu'un arbre veut lancer de dures racines ","Ainsi Parlait Zarathoustra
De la rapetissante vertu /p228",,"Ronce du bitume, je ne fâne pas ","Ma Couleur
Lunatic"
17,,Chez les petites gens il est force mensonges ,"Ainsi Parlait Zarathoustra
De la rapetissante vertu p225",,Mythomanes sont les fans,"Boulbi
Ouest Side"
